Institution Name,Size,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,International Research Network,Employment Outcomes,Sustainability,Institution Name_clean,Institution Name_matched,Rank,School Name,Prior Rank,Scaled Score,Prior Scaled Score,School Name_clean
University of Tulsa,S,3.2,2.1,35.1,11.5,7.0,17.8,20.4,13.7,1.1,university of tulsa,university of tulsa,212,University of Tulsa,295.0,66.5,62.3,university of tulsa
University of Vermont,L,3.1,2.2,34.9,15.6,6.8,2.4,62.8,9.5,8.1,university of vermont,university of vermont,167,University of Vermont,198.0,69.4,67.5,university of vermont
Marquette University,M,3.4,2.4,21.1,9.1,6.2,2.7,35.6,11.2,1.2,marquette university,marquette university,171,Marquette University,164.0,69.3,70.2,marquette university
Miami University,L,3.8,5.4,6.2,7.8,3.4,5.5,25.3,26.1,2.2,miami university,university of miami,97,University of Miami,103.0,74.7,74.8,university of miami
Seattle University,M,5.4,6.4,32.2,2.1,1.5,13.2,6.3,10.1,2.4,seattle university,seattle university,259,Seattle University,250.0,64.6,64.7,seattle university
University of San Diego,M,6.2,7.0,25.5,2.7,3.1,6.8,5.5,12.2,1.0,university of san diego,university of san diego,216,University of San Diego,209.0,66.3,66.9,university of san diego
University of San Francisco,M,5.9,4.4,18.7,3.6,2.3,20.2,6.0,29.5,1.2,university of san francisco,university of san francisco,231,University of San Francisco,197.0,65.7,67.5,university of san francisco
University of South Alabama (USA),M,4.7,5.9,19.0,6.1,,2.1,13.6,2.3,1.2,university of south alabama,university of south,141,The University of the South,125.0,71.8,73.3,university of south
University of the Pacific,M,2.2,3.5,31.9,3.0,3.2,12.0,7.6,8.1,1.0,university of pacific,university of pacific,304,University of the Pacific,368.0,62.6,59.4,university of pacific
Illinois State University,L,3.4,2.8,5.6,4.1,4.7,3.1,20.0,7.6,1.1,illinois state university,illinois state university,482,Illinois State University,459.0,56.7,56.0,illinois state university
Nova Southeastern University,L,2.7,3.5,11.6,2.8,4.7,3.9,13.2,8.9,1.2,nova southeastern university,nova southeastern university,427,Nova Southeastern University,474.0,58.6,55.7,nova southeastern university
